Podcast Name,Episode Title,Language,Published Date,Host(s),Guest(s),Main Topic(s),Rating (1-6),Rating Notes,Tags,Platform / Link
Lederpodden,🧠 Slik oppdager du lederens blindsone – Med Espen Skorstad og Mats Englund,Norwegian,2026-03-05,Tor Åge Skagestad Eikerapen,"Espen Skorstad, Mats Englund","Lederseleksjon, psykologisk vurdering, blindsoner",6,Espen Skorstad — Norges fremste på psykologisk lederutvelgelse — sterk dybde og høy verdi,"personalledelse,coaching",https://www.lederpodden.no
Lederpodden,🎯 Rekruttering som faktisk fungerer – fra magefølelse til metode – med Elin Ørjasæter og Maria Molvær Nesseth,Norwegian,2026-03-27,Tor Åge Skagestad Eikerapen,"Elin Ørjasæter, Maria Molvær Nesseth","Rekruttering, seleksjon, ansettelsesprosess",5,To rekrutteringseksperter — solid forskningstilnærming fra magefølelse til metode,"personalledelse,rekruttering",https://www.execu.no/lederpodden/306
Lederpodden,🔁 Fra gründer til CEO – slik får du lederskiftet til å fungere. Med Nadir Nalbant og Petter Kildal Forseth fra Homely,Norwegian,2026-04-01,Tor Åge Skagestad Eikerapen,"Nadir Nalbant, Petter Kildal Forseth","Lederskifte, rolleovergang, organisasjonsutvikling",5,Gründer-til-CEO-overgangen med to reelle casepersoner — praksisnær og innsiktsfull,personalledelse,https://www.execu.no/lederpodden/307
Lederpodden,🧠 Du er dømt til å bli misforstått - her er hvorfor,Norwegian,2026-04-10,Tor Åge Skagestad Eikerapen,—,"Kommunikasjon, kognitiv psykologi, misforståelser",5,Kognitiv forklaring på kommunikasjonssvikt i ledelse — solid solo-episode,feedback,https://www.execu.no/lederpodden/308
Lederskap (NHH),"KI‑entusiasme versus risiko, med Tellef Raabe",Norwegian,2026-03-13,"Therese Egeland, Joel W. Berge",Tellef Raabe,"KI-risiko, nasjonal sikkerhet, organisasjonsrisiko",4,KI-risikoperspektiv fra sikkerhetsekspert — ledelse perifert berørt,,https://shows.acast.com/lederskap/episodes/kientusiasme-versus-risiko-med-tellef-raabe
Lederskap (NHH),"Start Smart 2.0, med Anna Måsender og Veronica Heltne",Norwegian,2026-03-27,"Therese Egeland, Joel W. Berge","Anna Måsender, Veronica Heltne","Teamoppstart, Start Smart, Telenor, teamutvikling",6,Telenors implementering av NHH Start Smart — eksepsjonell kombinasjon av forskning og praksis,teamledelse,https://shows.acast.com/lederskap/episodes/start-smart-20-med-anna-masender-og-veronica-heltne
Lederliv,"Solveig Øvstebø, Astrup Fearnley Museet",Norwegian,2026-03-06,Ole Christian Apeland,Solveig Øvstebø,"Ledelse, kultur, museum",4,Astrup Fearnley-direktør om kulturledelse — interessant men begrenset dybde,personalledelse,https://shows.acast.com/lederliv/episodes/solveig-vsteb-astrup-fearnley-museet
Lederliv,"Trond Vilhelm Lund, Rørosmeieriet",Norwegian,2026-03-13,Ole Christian Apeland,Trond Vilhelm Lund,"Ledelse, verdier, merkevare, matbransje",5,"Rørosmeieriet-sjef — #2 i norsk omdømmemåling 2026, sterk om verdidrevet ledelse og kultur","teamledelse,kultur",https://shows.acast.com/lederliv/episodes/trond-vilhelm-lund-rrosmeieriet
Lederliv,"Pål Molander, Norsk institutt for vannforskning (NIVA)",Norwegian,2026-03-20,Ole Christian Apeland,Pål Molander,"Ledelse, sykefravær, nedbemanning, offentlig virksomhet",5,NIVA-direktør med konkrete erfaringer om sykefravær og nedbemanning — praksisnær og nyttig,personalledelse,https://shows.acast.com/lederliv/episodes/pal-molander-norsk-institutt-for-vannforskning-niva
Lederliv,"Mudassar Mehmood, Mortensrud Fellesskap",Norwegian,2026-03-27,Ole Christian Apeland,Mudassar Mehmood,"Ledelse, inkludering, frivillighet, lokalsamfunn",5,Årets ledestjerne 2025 (DN) — sterk ledelses-case med inspirerende bakgrunn,personalledelse,https://shows.acast.com/lederliv/episodes/mudassar-mehmood-mortensrud-fellesskap
Lederliv,"Trine Skei Grande, Forleggerforeningen",Norwegian,2026-04-03,Ole Christian Apeland,Trine Skei Grande,"Ledelse, organisasjon, politikk, kommunikasjon",4,Forleggerforening-direktør og eks-statsråd om ledelse i org. vs. bedrift — noe dybde,personalledelse,https://shows.acast.com/lederliv/episodes/trine-skei-grande-den-norske-forleggerforening
Lederliv,"Pål Lønseth, Økokrim",Norwegian,2026-04-10,Ole Christian Apeland,Pål Lønseth,"Ledelse, etterforskning, offentlig etat",4,"Økokrim-sjef — etterforskning og jus dominerer, ledelsesperspektiv perifert",personalledelse,https://shows.acast.com/lederliv/episodes/pal-lnseth-kokrim
HR-podden,231: Tekstdoktorens HR-resept med Christine Calvert,Norwegian,2026-03-04,Anne Lise Heide,Christine Calvert,"Skriving, kommunikasjon, HR",4,Teksthåndverk i HR — nyttig skrivekompetanse for HR-profesjonelle,personalledelse,https://www.buzzsprout.com/1929646/episodes/18730739-231-tekstdoktorens-hr-resept-med-christine-calvert.mp3
HR-podden,232: Tillit som kulturstrategi med Marcus Sahlin Pettersen & Kristin Bjerke,Norwegian,2026-03-11,Anne Lise Heide,"Marcus Sahlin Pettersen, Kristin Bjerke","Tillitskultur, organisasjonskultur, minimale regler",5,Alv IT-konsulentens tillitsbaserte kultur med minimal byråkrati — konkret og inspirerende,"teamledelse,kultur",https://www.buzzsprout.com/1929646/episodes/18775286-232-tillit-som-kulturstrategi-med-marcus-sahlin-pettersen-kristin-bjerke.mp3
