Podcast Name,Episode Title
Psykologkameratene,Fra nyttårsrakett til vaskebrett : hvordan lykkes med nyttårsforsetter?
Psykologkameratene,Ting som irriterer! Kan de fikses med kosmetisk psykologi?
Psykologkameratene,Løgn spesial: Den sosiale slangeoljen.
Psykologkameratene,Guttastemning:smuss, kluss og bærumsruss
Psykologkameratene,Hypnose: psykologisk magi eller simpelt svidleri?
Psykologkameratene,Hyttepsykologi: Hvorfor påsken gjør oss både lykkelige og irriterte
Psykologkameratene,"Vær, varulver og vått undertøy"
Psykologkameratene,Tvangstanker: Har du husket å slå av kaffetrakteren?
Psykologkameratene,Prokrastinering- vi tar det i morgen
Psykologkameratene,Rentepsykologi: Fattig i hånden eller fattig i ånden?
Åpen kilde,KI og klima – Er det verdt det?
Åpen kilde,Hva er god sikkerhetskultur – og hvordan bygger vi den i hverdagen?
Lederpodden,⚠️ Derfor feiler du i vanskelige samtaler - med Marius Elsbak og Morten Johansen
Lederpodden,🤝 Slik starter du teamet ditt smart – med Therese Egeland
